Year,region_name,Number of Enrollees,Number of Schools,DepEd Budget,Budget_Enrollees,Budget_Schools,Region_Mimaropa,Region_National Capital Region (NCR),Region_Region I - Ilocos,Region_Region II - Cagayan Valley,Region_Region III - Central Luzon,Region_Region IVA - Calabarzon,Region_Region IX - Zamboanga Peninsula,Region_Region V - Bicol,Region_Region VI - Western Visayas,Region_Region VII - Central Visayas,Region_Region VIII - Eastern Visayas,Region_Region X - Nothern Mindanao,Region_Region XI - Davao,Region_Region XII - Soccsksargen,Region_Region XIII - Caraga,Cluster
2024,Western Visayas,1418595,847,51704677000,36447.80716,61044482.88,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0
2020,Central Visayas,2010785,897,36817168000,18309.84814,41044780.38,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
2021,Central Visayas,2136141,938,41134751000,19256.57108,43853679.1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
2022,Central Visayas,1915977,958,43994786000,22962.06374,45923576.2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
2023,Central Visayas,2070042,978,48322352000,23343.65776,49409357.87,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
2024,Central Visayas,1459235,990,49604670000,33993.61309,50105727.27,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
2020,Eastern Visayas,1267220,564,29128987000,22986.5272,51647140.07,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
2021,Eastern Visayas,1301782,565,32630831000,25066.27915,57753683.19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
2022,Eastern Visayas,1169023,601,34338345000,29373.54098,57135349.42,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
2023,Eastern Visayas,1199588,604,37431741000,31203.83082,61973081.13,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
2024,Eastern Visayas,882686,630,38401249000,43504.99385,60954363.49,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
2020,Zamboanga Peninsula,1030861,417,20579099000,19963.02023,49350357.31,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
2021,Zamboanga Peninsula,1082236,422,22939289000,21196.19843,54358504.74,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
2022,Zamboanga Peninsula,957341,433,24616970000,25713.89923,56852124.71,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
2023,Zamboanga Peninsula,1013032,446,26838629000,26493.36744,60176298.21,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
2024,Zamboanga Peninsula,728485,478,28084697000,38552.19668,58754596.23,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
2020,Northern Mindanao,1293092,472,22490087000,17392.48793,47648489.41,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
2021,Northern Mindanao,1350026,542,25312196000,18749.41371,46701468.64,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
2022,Northern Mindanao,1224747,591,27178637000,22191.22562,45987541.46,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
2023,Northern Mindanao,1298530,615,29658266000,22839.8774,48224822.76,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
2024,Northern Mindanao,1150498,646,30743021000,26721.49017,47589815.79,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
2020,Davao,1289331,441,22639911000,17559.425,51337666.67,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
2021,Davao,1395893,519,25506891000,18272.81246,49146225.43,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
2022,Davao,1243944,574,27334323000,21973.91764,47620771.78,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
2023,Davao,1347074,603,30316227000,22505.24247,50275666.67,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
2024,Davao,1269160,621,31406890000,24746.20221,50574702.09,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
2020,Soccsksargen,1258194,579,22175158000,17624.59366,38299063.9,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
2021,Soccsksargen,1190617,559,22997611000,19315.70858,41140627.91,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
2022,Soccsksargen,1056352,598,24486559000,23180.30259,40947423.08,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
2023,Soccsksargen,1142928,620,26886393000,23524.13538,43365150.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
2024,Soccsksargen,862819,646,27895837000,32331.04162,43182410.22,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
2020,Caraga,781551,423,16286972000,20839.2952,38503479.91,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
2021,Caraga,801163,442,18361140000,22918.1078,41541040.72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
2022,Caraga,737094,469,19726189000,26762.10768,42060104.48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
2023,Caraga,747540,473,21323618000,28525.05284,45081644.82,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
2024,Caraga,675712,478,22007766000,32569.74273,46041351.46,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
