Year,region_name,Region,Number of Enrollees,Number of Schools,DepEd Budget,Budget_Enrollees,Budget_Schools,Mimaropa,National Capital Region (NCR),Region I - Ilocos,Region II - Cagayan Valley,Region III - Central Luzon,Region IVA - Calabarzon,Region IX - Zamboanga Peninsula,Region V - Bicol,Region VI - Western Visayas,Region VII - Central Visayas,Region VIII - Eastern Visayas,Region X - Nothern Mindanao,Region XI - Davao,Region XII - Soccsksargen,Region XIII - Caraga,Cluster,Cluster(Discrete),PC1,PC2,PC3
2022,Calabarzon,Region IVA - Calabarzon,3541098,828,63672606000,17981.0347,76899282.61,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,3.5634331639733245,0.20596452750983565,-0.4627008978840013
2023,Calabarzon,Region IVA - Calabarzon,3902178,841,69335149000,17768.32041,82443696.79,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,4.1266492630794325,0.7702386324435544,-0.1961689605036757
2024,Calabarzon,Region IVA - Calabarzon,3070457,856,71874797000,23408.50141,83965884.35,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,3.4321077781343097,1.8734430743306667,0.03141642338243203
2020,Mimaropa,Mimaropa,884410,439,18167392000,20541.8211,41383580.87,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-1.3682266997672539,-1.8217032850991397,-0.3047663302939165
2021,Mimaropa,Mimaropa,925831,448,20279788000,21904.41668,45267383.93,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-1.2647565691508855,-1.1685568747123367,-0.04431994925822527
2022,Mimaropa,Mimaropa,878474,461,21531913000,24510.58654,46706969.63,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-1.3397006160836822,-0.4095370320689343,0.15217659736795183
2023,Mimaropa,Mimaropa,872589,475,23675654000,27132.65237,49843482.11,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-1.3251704838579044,0.3640438882083606,0.3920338886121314
2024,Mimaropa,Mimaropa,469560,488,24349444000,51855.87358,49896401.64,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-2.672119846340599,3.018355257164491,0.8806643498520577
2020,Bicol Region,Region V - Bicol,1667388,697,34956448000,20964.79524,50152723.1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,0.4245123798319382,-1.1003045826621627,-1.0023362418592228
2021,Bicol Region,Region V - Bicol,1819218,709,39024973000,21451.50993,55042275.04,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0.7393203990347389,-0.490436833603014,-0.739630824179072
2022,Bicol Region,Region V - Bicol,1611641,728,41416793000,25698.52281,56891199.18,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0.5428220392551072,0.45075263037242264,-0.5319109871202381
2023,Bicol Region,Region V - Bicol,1696937,744,45143535000,26602.95285,60676794.36,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0.7712714884115922,1.1029231068305665,-0.30852030013938003
2024,Bicol Region,Region V - Bicol,1253019,765,46851484000,37390.88074,61243769.94,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0.07938728797550408,2.609677648696259,-0.04664366981336514
2020,Western Visayas,Region VI - Western Visayas,2048778,719,39282131000,19173.44437,54634396.38,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,1.0426672752553305,-1.1690874519222785,-0.9858079952693367
2021,Western Visayas,Region VI - Western Visayas,2104060,789,43611514000,20727.31481,55274415.72,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,1.3012511572644754,-0.351705209264784,-1.0373869021832411
2022,Western Visayas,Region VI - Western Visayas,1873375,816,46656699000,24905.15727,57177327.21,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,1.1333143512509043,0.611056043280001,-0.8593446858107305
2023,Western Visayas,Region VI - Western Visayas,1988619,833,50241307000,25264.42069,60313693.88,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,1.3933797527561118,1.214373322797282,-0.6655302160480879
