Year,region_name,Region,DAR,DA,DENR,DOF,DOH,DHSUD,DICT,DOJ,DOLE,DPWH,DOST,DSWD,DILG,DTI,DOTr,NEDA,total,Population,GRDP,agri_land,agri_volume,poverty_population
2020,Calabarzon,Region IVA - Calabarzon,357239000,2428848000,941650000,631271000,1768634000,40565000,27693000,71950000,280857000,25545321000,369001000,10400967000,888104000,543944000,281701000,188693000,44766438000,16057299,2.56512E+12,805253.08,4157053.08,1102030
2021,Calabarzon,Region IVA - Calabarzon,389515000,2371427000,1059209000,750835000,1998452000,41370000,18195000,75280000,304615000,31076606000,338604000,10527352000,917958000,590301000,307044000,193663000,50960426000,16361107,2.78599E+12,809525.2,4207252.21,1676350
2022,Calabarzon,Region IVA - Calabarzon,371593000,2341775000,1300275000,905614000,2212827000,50642000,17662000,70787000,302895000,32947811000,331466000,10349683000,896821000,755704000,308117000,203286000,53366958000,16654975,3.14038E+12,790427.02,4166755.72,1676350
2023,Calabarzon,Region IVA - Calabarzon,420967000,3521714000,1148069000,920728000,2927856000,76584000,20678000,73794000,669010000,28425569000,403288000,10981798000,988381000,214734000,333189000,238686000,51365045000,16938893,3.43608E+12,789767.44,4245803.78,1345400
2024,Calabarzon,Region IVA - Calabarzon,400978000,3480182000,1218361000,1337745000,3130214000,84641000,24695000,72171000,782566000,31763283000,334998000,12862902000,1191462000,218343000,351094000,246854000,57500489000,17213591,3.72357E+12,743585.4,3841755.82,1345400
2020,Mimaropa,Mimaropa,249558000,1497726000,986332000,8236000,687375000,0,0,274223000,88092000,12475595000,220348000,6311071000,521937000,336601000,47455000,113060000,23817609000,3174859,3.42643E+11,875908.22,4604655.57,466690
2021,Mimaropa,Mimaropa,268410000,2728971000,1021594000,8687000,772636000,18588000,14433000,285588000,97836000,13142137000,257807000,6245103000,524074000,354058000,66945000,124912000,25931779000,3212211,3.8271E+11,897471.4,4666354.41,667860
2022,Mimaropa,Mimaropa,261674000,2978863000,985953000,8136000,883118000,35648000,22550000,283839000,103916000,14192316000,259291000,6661151000,542193000,436866000,72080000,140397000,27867991000,3247680,4.5309E+11,909702.75,4910468.14,667860
2023,Mimaropa,Mimaropa,278162000,3420039000,1057806000,8580000,1132146000,44686000,13792000,281248000,374974000,9654711000,272137000,6999434000,583095000,133084000,77539000,154538000,24485971000,3281249,4.72214E+11,906687.22,4700166.78,755710
2024,Mimaropa,Mimaropa,285258000,3511172000,1067102000,15121000,1292065000,45080000,14509000,821339000,413986000,10382618000,279843000,8201063000,674261000,179059000,89142000,186131000,27457749000,3313035,5.09501E+11,896024.07,4577674.79,755710
2020,Bicol Region,Region V - Bicol,650711000,2067053000,916086000,266872000,2196546000,15503000,17086000,49061000,198667000,20430811000,281362000,11355050000,836423000,492787000,128234000,148849000,40051101000,6133836,5.16848E+11,1409109.75,5722955.23,1620970
2021,Bicol Region,Region V - Bicol,707310000,2936260000,988134000,300029000,2674883000,21241000,19200000,50920000,212450000,23022464000,342741000,11598370000,900061000,575200000,154733000,163652000,44667648000,6192924,5.64637E+11,1410732.7,5729698.99,1815300
2022,Bicol Region,Region V - Bicol,696231000,2967876000,1139720000,344038000,3089759000,30051000,19310000,48683000,224492000,28907425000,294904000,11749195000,882291000,719176000,150988000,176298000,51440437000,6248843,6.45782E+11,1409220.87,5960703.05,1815300
2023,Bicol Region,Region V - Bicol,745701000,4803720000,1029164000,378196000,4558052000,44317000,17996000,51420000,581422000,20340895000,290186000,12066062000,930972000,186818000,360342000,186361000,46571624000,6301591,7.01723E+11,1397892.53,5654182.11,1735690
