Year,region_name,Region,Number of Enrollees,Number of Schools,DepEd Budget,Budget_Enrollees,Budget_Schools
2023,Davao,Region XI - Davao,1347074,603,30316227000,22505.24247,50275666.67
2024,Davao,Region XI - Davao,1269160,621,31406890000,24746.20221,50574702.09
2020,Soccsksargen,Region XII - Soccsksargen,1258194,579,22175158000,17624.59366,38299063.9
2021,Soccsksargen,Region XII - Soccsksargen,1190617,559,22997611000,19315.70858,41140627.91
2022,Soccsksargen,Region XII - Soccsksargen,1056352,598,24486559000,23180.30259,40947423.08
2023,Soccsksargen,Region XII - Soccsksargen,1142928,620,26886393000,23524.13538,43365150
2024,Soccsksargen,Region XII - Soccsksargen,862819,646,27895837000,32331.04162,43182410.22
2020,Caraga,Region XIII - Caraga,781551,423,16286972000,20839.2952,38503479.91
2021,Caraga,Region XIII - Caraga,801163,442,18361140000,22918.1078,41541040.72
2022,Caraga,Region XIII - Caraga,737094,469,19726189000,26762.10768,42060104.48
2023,Caraga,Region XIII - Caraga,747540,473,21323618000,28525.05284,45081644.82
2024,Caraga,Region XIII - Caraga,675712,478,22007766000,32569.74273,46041351.46
